precise_ID,sample_id,study,project,condition,rep_id,Biological Replicates,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Time in phase [h],Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,DOI,GEO,Published,SRX,Run,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_replicate_correlations
DDB_0306,DDB_PD_063_AMBR_R3__S11_RNAseq,DDB_PD_063_AMBR,ddb_pd_063,[DDB_PD_063]_[DDB35_WT]_[Fed-batch]_[15h],1,2,01/09/2021,Escherichia coli BW25113,DDB35,DDB_BM_003,glucose(4),NH4Cl(1),O2,DDB_TM_003,,30,6.5,,AMBR,15,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_063:[DDB_PD_063]_[DDB35_WT]_[Fed-batch]_[15h],TRUE
DDB_0307,DDB_PD_063_AMBR_R4__S11_RNAseq,DDB_PD_063_AMBR,ddb_pd_063,[DDB_PD_063]_[DDB35_WT]_[Fed-batch]_[15h],2,2,01/09/2021,Escherichia coli BW25113,DDB35,DDB_BM_003,glucose(4),NH4Cl(1),O2,DDB_TM_003,,30,6.5,,AMBR,15,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_063:[DDB_PD_063]_[DDB35_WT]_[Fed-batch]_[15h],TRUE
DDB_0311,DDB_PD_065_AMBR_R22__S03_RNAseq,DDB_PD_065_AMBR,ddb_pd_065,[DDB_PD_065]_[SDT176_del_csgD]_[Batch]_[0h],1,2,10/09/2021,Escherichia coli BW25113,SDT176,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_005,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT176_del_csgD]_[Batch]_[0h],TRUE
DDB_0312,DDB_PD_065_AMBR_R23__S03_RNAseq,DDB_PD_065_AMBR,ddb_pd_065,[DDB_PD_065]_[SDT176_del_csgD]_[Batch]_[0h],2,2,10/09/2021,Escherichia coli BW25113,SDT176,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_005,,30,6.5,,AMBR,0,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT176_del_csgD]_[Batch]_[0h],TRUE
DDB_0313,DDB_PD_065_AMBR_R22__S10_RNAseq,DDB_PD_065_AMBR,ddb_pd_065,[DDB_PD_065]_[SDT176_del_csgD]_[Fed-batch]_[15h],1,2,10/09/2021,Escherichia coli BW25113,SDT176,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_005,,30,6.5,,AMBR,15,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT176_del_csgD]_[Fed-batch]_[15h],TRUE
DDB_0314,DDB_PD_065_AMBR_R23__S10_RNAseq,DDB_PD_065_AMBR,ddb_pd_065,[DDB_PD_065]_[SDT176_del_csgD]_[Fed-batch]_[15h],2,2,10/09/2021,Escherichia coli BW25113,SDT176,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_005,,30,6.5,,AMBR,15,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT176_del_csgD]_[Fed-batch]_[15h],TRUE
DDB_0316,DDB_PD_065_AMBR_R20__S10_RNAseq,DDB_PD_065_AMBR,ddb_pd_065,[DDB_PD_065]_[SDT175_del_fur]_[Fed-batch]_[15h],1,2,10/09/2021,Escherichia coli BW25113,SDT175,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_005,,30,6.5,,AMBR,15,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT175_del_fur]_[Fed-batch]_[15h],TRUE
DDB_0317,DDB_PD_065_AMBR_R21__S10_RNAseq,DDB_PD_065_AMBR,ddb_pd_065,[DDB_PD_065]_[SDT175_del_fur]_[Fed-batch]_[15h],2,2,10/09/2021,Escherichia coli BW25113,SDT175,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_005,,30,6.5,,AMBR,15,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT175_del_fur]_[Fed-batch]_[15h],TRUE
DDB_0320,DDB_PD_065_AMBR_R14__S10_RNAseq,DDB_PD_065_AMBR,ddb_pd_065,[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],1,2,10/09/2021,Escherichia coli BW25113,SDT169,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_005,,30,6.5,,AMBR,15,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],TRUE
DDB_0321,DDB_PD_065_AMBR_R15__S10_RNAseq,DDB_PD_065_AMBR,ddb_pd_065,[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],2,2,10/09/2021,Escherichia coli BW25113,SDT169,DDB_BM_005,glucose(4),NH4Cl(1),O2,DDB_TM_005,,30,6.5,,AMBR,15,,,,,,,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ddb_pd_065:[DDB_PD_065]_[SDT169_del_nac]_[Fed-batch]_[15h],TRUE
